a_x,a_y,a_z,g_x,g_y,g_z
-0.005,0.02,1.084,-5.432,-4.333,1.403
-0.017,-0.019,0.955,3.417,0.549,-0.854
-0.011,0.001,1.003,0.0,0.793,-0.976
-0.035,0.004,1.047,-0.183,-0.854,-1.77
-0.009,-0.013,0.998,1.403,-0.244,-3.234
0.03,-0.007,1.003,-4.699,1.281,-0.793
-0.039,-0.003,1.018,4.15,0.122,-4.394
-0.011,-0.004,0.969,4.516,1.403,-4.638
-0.015,-0.005,0.975,1.647,1.464,1.831
0.051,-0.091,0.903,14.221,30.273,-4.577
-0.079,-0.617,0.833,-32.592,27.282,-29.113
0.202,-0.848,1.052,28.198,0.122,-44.738
-0.477,-0.335,1.44,77.026,-86.181,72.082
-0.86,0.076,0.875,55.297,18.249,-119.873
1.55,0.689,-0.251,-73.303,-42.175,55.969
0.218,0.817,0.489,-25.939,4.333,-9.704
0.253,0.667,1.174,-9.033,-16.662,-9.46
-0.028,-0.028,0.925,-13.122,16.052,12.939
-0.21,-0.141,0.882,6.225,-20.446,-4.15
0.134,0.044,1.055,5.676,6.469,4.638
-0.049,-0.025,1.029,-9.765,1.708,-1.892
-0.027,-0.022,0.932,2.38,0.976,-0.61
-0.05,-0.028,1.019,-2.38,0.0,-0.305
-0.051,-0.029,0.993,1.342,-0.183,0.183
-0.055,-0.029,0.996,-0.488,0.061,0.0
-0.055,-0.032,1.005,1.403,-0.427,-0.671
-0.045,-0.029,1.014,-1.281,0.549,0.793
-0.058,-0.032,0.998,1.586,0.488,0.61
-0.06,-0.024,1.001,1.464,0.915,1.159
-0.055,-0.022,1.009,-0.244,-0.183,-0.244
-0.057,-0.035,1.002,0.244,-0.732,-1.098
-0.044,-0.029,0.997,0.732,0.183,-0.732
-0.038,-0.02,0.992,2.136,-0.244,-0.732
-0.046,-0.031,0.993,1.403,0.488,-0.793
-0.055,-0.028,0.995,1.708,0.0,0.305
-0.06,-0.026,1.005,0.183,0.305,-0.427
-0.045,-0.026,0.997,-0.366,-0.305,-0.732
-0.042,-0.026,1.003,0.732,0.061,0.488
-0.053,-0.028,1.005,-0.427,-0.488,-0.366
-0.044,-0.035,0.999,0.061,-0.549,-0.976
-0.125,-0.002,0.959,-0.976,0.854,0.61
-0.026,-0.018,0.957,5.737,1.953,11.962
-0.092,-0.106,0.932,41.87,-16.601,31.127
-0.093,-0.468,1.134,96.618,54.748,1.586
0.409,-0.227,0.832,140.808,-16.967,-38.085
-0.288,-0.179,1.452,38.085,-69.274,37.536
-0.563,-0.312,1.437,-43.579,2.258,-15.075
0.356,0.287,0.673,-40.71,65.979,-30.151
0.088,0.96,0.611,-21.911,-118.347,-4.943
0.225,0.304,1.0,-13.0,23.498,-50.292
0.249,-0.057,0.951,1.098,12.084,4.272
0.056,0.073,1.03,11.779,-8.666,-0.732
0.143,0.092,1.046,1.831,13.61,5.126
-0.026,0.067,1.0,-4.394,-4.455,2.38
0.04,0.052,0.982,20.019,-7.812,-7.202
0.149,0.093,1.06,-2.99,9.826,3.601
0.054,0.068,0.965,0.488,-1.281,-1.037
0.114,0.09,0.964,5.187,-3.906,1.098
0.17,0.092,0.982,2.502,2.502,-5.798
0.143,0.078,0.998,0.122,0.61,1.831
0.526,-0.809,-0.204,-2.746,1.586,-4.211
0.521,-0.826,-0.212,1.892,3.173,0.61
0.494,-0.804,-0.179,-15.014,0.305,24.475
0.266,1.639,1.035,-431.457,94.055,182.495
-0.029,0.75,-0.208,-1521.118,831.848,-452.636
0.348,0.502,0.019,238.769,-303.161,178.466
0.212,2.087,-0.461,656.616,1019.348,-473.693
